LATITUDE,LONGITUDE
24.565373,118.118472
24.525478,118.13001
24.512455,118.13727
24.503266,118.135424
24.494281,118.118231
24.486526,118.126513
24.479197,118.126537
24.47257,118.118585
24.46468,118.092125
24.442281,118.100512
24.566982,118.118589
24.524788,118.127103
24.51192,118.135703
24.503473,118.131831
24.495551,118.124414
24.488819,118.121845
24.481078,118.124585
24.473996,118.122151
24.465813,118.097431
24.446016,118.097346
24.573723,118.113161
24.523575,118.126896
24.51081,118.134416
24.502081,118.132422
24.494729,118.121486
24.487877,118.123436
24.479974,118.12497
24.472835,118.117885
24.463839,118.091416
24.443153,118.102407
24.570014,118.11889
24.526577,118.132401
24.513665,118.13307
24.504531,118.134775
24.494875,118.116269
24.486766,118.122929
24.479147,118.124531
24.472392,118.115567
24.464517,118.091211
24.44513,118.097714
24.564021,118.117187
24.525968,118.128913
24.513526,118.133529
24.505012,118.134266
24.495649,118.119972
24.487909,118.120456
24.480194,118.126389
24.473511,118.120393
24.465578,118.095894
24.346708,118.198722
24.566885,118.116688
24.525311,118.129959
24.512677,118.13377
24.50376,118.136184
24.49444,118.119031
24.486407,118.122248
24.479014,118.124863
24.472294,118.116726
24.464383,118.090548
24.445181,118.099039
24.570906,118.116898
24.526612,118.134105
24.514224,118.133662
24.505654,118.13406
24.495551,118.120855
24.487576,118.121274
24.479858,118.123122
24.473073,118.119867
24.465121,118.094558
24.446139,118.097013
24.573526,118.109371
24.525889,118.128447
24.512037,118.13316
24.502606,118.13305
24.494474,118.118504
24.486607,118.123534
24.478498,118.125753
24.471379,118.113804
24.462866,118.08682
24.439983,118.104425
24.568051,118.116429
24.524384,118.125183
24.510503,118.134392
24.501123,118.128905
24.493567,118.119147
24.485786,118.124587
24.478082,118.122772
24.471017,118.111719
24.460439,118.080999
24.439967,118.109715
24.569303,118.117719
24.524774,118.126976
24.511038,118.133629
24.501102,118.128557
24.493658,118.11981
24.486005,118.124354
24.478385,118.121192
24.471185,118.113062
24.461035,118.083672
24.433979,118.127766
24.573991,118.115942
24.526476,118.131123
24.514461,118.131512
24.506654,118.141415
24.497237,118.126241
24.489589,118.120815
24.481609,118.124287
24.475457,118.126242
24.468161,118.104226
24.450382,118.0931
24.589827,118.097365
24.525203,118.126977
24.513333,118.135272
24.505943,118.13799
24.496646,118.127027
24.489063,118.120922
24.481259,118.122748
24.474986,118.124856
24.46746,118.099882
24.449163,118.093726
24.573243,118.115836
24.526283,118.128683
24.513957,118.130379
24.505843,118.136644
24.497947,118.12397
24.491686,118.123552
24.484046,118.125218
24.476939,118.129708
24.468984,118.108695
24.451047,118.092781
24.56719,118.11769
24.524887,118.126342
24.512211,118.132215
24.503625,118.13372
24.496333,118.122639
24.489684,118.126356
24.482151,118.121284
24.475911,118.125249
24.467297,118.100584
24.441741,118.111655
24.571423,118.114321
24.52666,118.130784
24.514358,118.133404
24.50613,118.139264
24.496202,118.12431
24.488216,118.12266
24.480474,118.12354
24.474287,118.124977
24.46698,118.099332
24.449131,118.092576
24.566396,118.120826
24.525666,118.129546
24.51346,118.135317
24.505596,118.137842
24.496274,118.121668
24.488512,118.121597
24.480687,118.124099
24.474378,118.122902
24.467312,118.099967
24.449747,118.09256
24.577717,118.140858
24.526256,118.130729
24.51422,118.132685
24.506221,118.138815
24.496499,118.125314
24.488298,118.120275
24.480477,118.125975
24.474123,118.123399
24.467204,118.10005
24.449062,118.093658
24.585725,118.06579
24.527703,118.125592
24.514861,118.128663
24.505098,118.133383
24.497091,118.125041
24.490808,118.126077
24.48296,118.123361
24.47553,118.123411
24.467187,118.102285
24.448041,118.095972
24.576152,118.117385
24.527539,118.125928
24.514407,118.131811
24.505038,118.134163
24.496973,118.124254
24.490195,118.126022
24.482313,118.122552
24.474732,118.124276
24.465402,118.094583
24.445761,118.096128
24.573321,118.114607
24.526848,118.126921
24.513564,118.129923
24.503973,118.13371
24.496517,118.124252
24.490015,118.128854
24.482256,118.122613
24.474897,118.122951
24.466424,118.098297
24.446173,118.09697
