road_id,road_name,road_name1,START_LONGITUDE,START_LATITUDE,END_LONGITUDE,END_LATITUDE
R151,会展路（南向北）,会展路（南向北）,118.1832548,24.4883533,118.1833431,24.4892208
R152,会展路（南向北）,会展路（南向北）,118.1833714,24.4902737,118.1833647,24.4904828
R153,会展路（南向北）,会展路（南向北）,118.1833712,24.4907647,118.1833882,24.4911991
R154,会展路（南向北）,会展路（南向北）,118.1835412,24.4920398,118.1836843,24.4926474
R155,会展路（南向北）,会展路（南向北）,118.1837401,24.4947243,118.1836946,24.4949487
R156,会展路（南向北）,会展路（南向北）,118.183063,24.4975799,118.1830303,24.4979684
R157,会展路（南向北）,会展路（南向北）,118.1830303,24.4979684,118.1830451,24.4983021
R158,会展路-环岛干道（南向北）,会展路-环岛干道（南向北）,118.1835454,24.5005606,118.1839724,24.5019579
R159,环岛干道（南向北）,环岛干道（南向北）,118.1847495,24.5045365,118.1848127,24.5048076
R160,环岛干道（南向北）,环岛干道（南向北）,118.1848127,24.5048076,118.1849243,24.5056966
R161,环岛干道（南向北）,环岛干道（南向北）,118.1848703,24.5073452,118.1848475,24.5074607
R162,环岛干道（南向北）,环岛干道（南向北）,118.1848475,24.5074607,118.1848045,24.5076975
R163,环岛干道（南向北）,环岛干道（南向北）,118.1841408,24.5097175,118.1840023,24.5099818
R164,环岛干道（南向北）,环岛干道（南向北）,118.1835098,24.5107309,118.1834693,24.5107864
R165,环岛干道（南向北）,环岛干道（南向北）,118.1818508,24.5124678,118.1806248,24.5134944
R166,环岛干道（南向北）,环岛干道（南向北）,118.1806248,24.5134944,118.1795453,24.514402
R167,环岛干道（南向北）,环岛干道（南向北）,118.1775379,24.5162067,118.1772387,24.5165846
R168,环岛干道（南向北）,环岛干道（南向北）,118.1772387,24.5165846,118.1768682,24.517139
R169,环岛干道（南向北）,环岛干道（南向北）,118.1762839,24.5211804,118.1762952,24.5216495
R170,环岛干道（南向北）,环岛干道（南向北）,118.1754617,24.5249945,118.1748754,24.5255263
R171,环岛干道（南向北）,环岛干道（南向北）,118.1654026,24.530689,118.163605,24.5335926
R172,环岛干道（南向北）,环岛干道（南向北）,118.163605,24.5335926,118.1635381,24.5337002
R173,环岛干道（南向北）,环岛干道（南向北）,118.1533201,24.5405248,118.1528773,24.5409586
R174,环岛干道（南向北）,环岛干道（南向北）,118.1476934,24.5468283,118.1471132,24.5474892
R175,环岛干道-集美大桥下穿机场隧道（南向北）,环岛干道-集美大桥下穿机场隧道（南向北）,118.1471132,24.5474892,118.146812,24.5478576
R186,嘉禾路-成功大道,嘉禾路-成功大道,118.1129042,24.538093,118.1129199,24.5377737
R187,成功大道（北向南）,成功大道（北向南）,118.1171033,24.5305358,118.1174937,24.5302818
R188,成功大道（北向南）,成功大道（北向南）,118.1174937,24.5302818,118.1181371,24.5299357
R189,成功大道（北向南）,成功大道（北向南）,118.1181371,24.5299357,118.1183277,24.5298463
R190,成功大道（北向南）,成功大道（北向南）,118.1199389,24.5289424,118.1214969,24.5282375
R191,成功大道（北向南）,成功大道（北向南）,118.1257052,24.5254938,118.1281412,24.5234532
R192,成功大道（北向南）,成功大道（北向南）,118.1296163,24.522193,118.131134,24.5208965
